,object number,count,frequency
0,711.1959,8,0.0006434488860291161
1,262.1984.1,7,0.0005630177752754766
2,749.1964.c24,6,0.00048258666452183704
3,55.1948.1-2,6,0.00048258666452183704
4,926.1964.3,6,0.00048258666452183704
5,190.1947,6,0.00048258666452183704
6,680.1964.177,5,0.00040215555376819754
7,649.1999,5,0.00040215555376819754
8,15.1976.2,5,0.00040215555376819754
9,649.1980,5,0.00040215555376819754
10,423.1967,5,0.00040215555376819754
11,508.1978,5,0.00040215555376819754
12,33.1990,5,0.00040215555376819754
13,974.1964.1,5,0.00040215555376819754
14,1105.1999,5,0.00040215555376819754
15,939.1964.18,5,0.00040215555376819754
16,253.1984,5,0.00040215555376819754
17,330.1952.67,5,0.00040215555376819754
18,608.1981,5,0.00040215555376819754
19,334.1984,5,0.00040215555376819754
20,144.1949.10,5,0.00040215555376819754
21,574.1963.a-b,5,0.00040215555376819754
22,24.1990.2,5,0.00040215555376819754
23,330.1952.32,5,0.00040215555376819754
24,468.1983,5,0.00040215555376819754
25,890.1964.41,5,0.00040215555376819754
26,755.1999,5,0.00040215555376819754
27,836.1942,5,0.00040215555376819754
28,685.1964.92,5,0.00040215555376819754
29,771.1964.31,5,0.00040215555376819754
30,764.1964.1-10,5,0.00040215555376819754
31,469.1982.55,5,0.00040215555376819754
32,580.1949.1,5,0.00040215555376819754
33,344.1967,5,0.00040215555376819754
34,159.1943,5,0.00040215555376819754
35,718.1963,5,0.00040215555376819754
36,331.1966,5,0.00040215555376819754
37,783.1983,5,0.00040215555376819754
38,156.1947,5,0.00040215555376819754
39,469.1982.30,5,0.00040215555376819754
40,22.1989.a-c,5,0.00040215555376819754
41,131.1963.6,5,0.00040215555376819754
42,246.1965,5,0.00040215555376819754
43,685.1964.104,5,0.00040215555376819754
44,725.1983.a-c,4,0.00032172444301455805
45,210.1964.24,4,0.00032172444301455805
46,651.1980,4,0.00032172444301455805
47,939.1964.65,4,0.00032172444301455805
48,151.2001,4,0.00032172444301455805
49,127.1957,4,0.00032172444301455805
50,680.1964.225,4,0.00032172444301455805
51,180.1979.1,4,0.00032172444301455805
52,226.1953,4,0.00032172444301455805
53,511.1975,4,0.00032172444301455805
54,518.1956.a-c,4,0.00032172444301455805
55,282.1974.13,4,0.00032172444301455805
56,147.1995,4,0.00032172444301455805
57,138.1948,4,0.00032172444301455805
58,461.1985,4,0.00032172444301455805
59,154.1992,4,0.00032172444301455805
60,474.1983,4,0.00032172444301455805
61,287.1964.6,4,0.00032172444301455805
62,329.1977,4,0.00032172444301455805
63,351.1969,4,0.00032172444301455805
64,503.1983,4,0.00032172444301455805
65,148.1955.1-17,4,0.00032172444301455805
66,444.1996,4,0.00032172444301455805
67,463.2001,4,0.00032172444301455805
68,715.1943.a-b,4,0.00032172444301455805
69,376.1951.3,4,0.00032172444301455805
70,912.1964.62,4,0.00032172444301455805
71,53.1960,4,0.00032172444301455805
72,374.1951.c05,4,0.00032172444301455805
73,155.1993.4,4,0.00032172444301455805
74,1299.2000,4,0.00032172444301455805
75,37.1985.1-5,4,0.00032172444301455805
76,254.1984.15,4,0.00032172444301455805
77,863.1964.1,4,0.00032172444301455805
78,358.1982,4,0.00032172444301455805
79,305.1950.6,4,0.00032172444301455805
80,125.1996,4,0.00032172444301455805
81,667.1964.1,4,0.00032172444301455805
82,530.1956.a-b,4,0.00032172444301455805
83,69.2000,4,0.00032172444301455805
84,442.1956,4,0.00032172444301455805
85,181.1985.4,4,0.00032172444301455805
86,1011.1964.3,4,0.00032172444301455805
87,1580.2000,4,0.00032172444301455805
88,990.1964.108,4,0.00032172444301455805
89,539.1977,4,0.00032172444301455805
90,175.1958.a-b,4,0.00032172444301455805
91,494.1951,4,0.00032172444301455805
92,740.1983,4,0.00032172444301455805
93,680.1964.309,4,0.00032172444301455805
94,398.1994,4,0.00032172444301455805
95,723.1963,4,0.00032172444301455805
96,147.1989.8,4,0.00032172444301455805
97,24.1990.11,4,0.00032172444301455805
98,357.1996.12.a-j,4,0.00032172444301455805
99,269.1998,4,0.00032172444301455805
100,723.1983,4,0.00032172444301455805
101,681.1964.1-32,4,0.00032172444301455805
102,225.1963.1,4,0.00032172444301455805
103,680.1964.72,4,0.00032172444301455805
104,363.1937,4,0.00032172444301455805
105,685.1964.149,4,0.00032172444301455805
106,124.1988,4,0.00032172444301455805
107,563.1977,4,0.00032172444301455805
108,729.1999,4,0.00032172444301455805
109,3.1995.17,4,0.00032172444301455805
110,1013.1964.9,4,0.00032172444301455805
111,1527.2000,4,0.00032172444301455805
112,272.1958,4,0.00032172444301455805
113,2232.1967,4,0.00032172444301455805
114,507.1956,4,0.00032172444301455805
115,466.1977.2,4,0.00032172444301455805
116,414.1985,4,0.00032172444301455805
117,413.1981.1-10,4,0.00032172444301455805
118,968.1964.18,4,0.00032172444301455805
119,680.1964.21,4,0.00032172444301455805
120,939.1964.23,4,0.00032172444301455805
121,838.1983,4,0.00032172444301455805
122,164.1936,4,0.00032172444301455805
123,135.1991.a-b,4,0.00032172444301455805
124,405.1982,4,0.00032172444301455805
125,912.1999,4,0.00032172444301455805
126,643.1980,4,0.00032172444301455805
127,282.1974.1,4,0.00032172444301455805
128,454.1976,4,0.00032172444301455805
129,685.1964.32,4,0.00032172444301455805
130,330.1952.80,4,0.00032172444301455805
131,150.1982.11,4,0.00032172444301455805
132,778.1964.19,4,0.00032172444301455805
133,15.1976.3,4,0.00032172444301455805
134,187.1973.3,4,0.00032172444301455805
135,2295.1967,4,0.00032172444301455805
136,671.1964.3,4,0.00032172444301455805
137,172.1936,4,0.00032172444301455805
138,926.1965,4,0.00032172444301455805
139,552.1964.a-b,4,0.00032172444301455805
140,191.2001,4,0.00032172444301455805
141,1541.2000,4,0.00032172444301455805
142,685.1964.80,4,0.00032172444301455805
143,911.1942,4,0.00032172444301455805
144,768.1983,4,0.00032172444301455805
145,617.1987.21,4,0.00032172444301455805
146,858.1964.40,4,0.00032172444301455805
147,357.1996.2,4,0.00032172444301455805
148,411.1967,4,0.00032172444301455805
149,261.1994,4,0.00032172444301455805
150,549.1999,4,0.00032172444301455805
151,221.1943,4,0.00032172444301455805
152,562.1949.6,4,0.00032172444301455805
153,271.1935,4,0.00032172444301455805
154,187.1968,4,0.00032172444301455805
155,78.1972,4,0.00032172444301455805
156,1146.1999,4,0.00032172444301455805
157,941.1964.54,4,0.00032172444301455805
158,180.1979.7,4,0.00032172444301455805
159,904.1999,4,0.00032172444301455805
160,239.1976.1-12,4,0.00032172444301455805
161,153.1989.3,4,0.00032172444301455805
162,66.1959.6,4,0.00032172444301455805
163,797.1983,4,0.00032172444301455805
164,680.1964.215,4,0.00032172444301455805
165,612.1981,4,0.00032172444301455805
166,1014.1964.5,4,0.00032172444301455805
167,389.1974.1-20,4,0.00032172444301455805
168,617.1987.29,4,0.00032172444301455805
169,599.1999,4,0.00032172444301455805
170,324.1958.3,4,0.00032172444301455805
171,206.1977,4,0.00032172444301455805
172,67.2000.1-3,4,0.00032172444301455805
173,330.1952.15,4,0.00032172444301455805
174,912.1964.52,4,0.00032172444301455805
175,340.1966,4,0.00032172444301455805
176,85.2000,4,0.00032172444301455805
177,115.2001,4,0.00032172444301455805
178,1087.1999,4,0.00032172444301455805
179,25.1997,4,0.00032172444301455805
180,432.1969.9,4,0.00032172444301455805
181,680.1964.202,4,0.00032172444301455805
182,215.1958,4,0.00032172444301455805
183,576.1965.2,4,0.00032172444301455805
184,576.1954,4,0.00032172444301455805
185,190.1960,4,0.00032172444301455805
186,254.1974.5,4,0.00032172444301455805
187,202.1977.9,4,0.00032172444301455805
188,150.1989.9,4,0.00032172444301455805
189,763.1964.34,4,0.00032172444301455805
190,161.1968,4,0.00032172444301455805
191,2225.1967.a-c,4,0.00032172444301455805
192,209.1964.4,4,0.00032172444301455805
193,617.1987.57,4,0.00032172444301455805
194,408.1964,4,0.00032172444301455805
195,401.1967,4,0.00032172444301455805
196,923.1964.13,4,0.00032172444301455805
197,229.1987,4,0.00032172444301455805
198,793.1983,4,0.00032172444301455805
199,353.1961,4,0.00032172444301455805
200,2276.1967,4,0.00032172444301455805
201,619.1987.1-64,4,0.00032172444301455805
202,41.1960,4,0.00032172444301455805
203,867.1964.1-24,4,0.00032172444301455805
204,210.1964.10,4,0.00032172444301455805
205,976.1964.31,4,0.00032172444301455805
206,262.1980,4,0.00032172444301455805
207,259.1998,4,0.00032172444301455805
208,248.1981,4,0.00032172444301455805
209,199.1984.8,4,0.00032172444301455805
210,835.1942,4,0.00032172444301455805
211,374.1951.b07,4,0.00032172444301455805
212,151.1977,3,0.00024129333226091852
213,405.1994.1-3,3,0.00024129333226091852
214,278.1948.9,3,0.00024129333226091852
215,329.1960,3,0.00024129333226091852
216,254.1984.19,3,0.00024129333226091852
217,376.1994,3,0.00024129333226091852
218,93.1990,3,0.00024129333226091852
219,890.1964.22,3,0.00024129333226091852
220,371.1996,3,0.00024129333226091852
221,282.1935,3,0.00024129333226091852
222,444.1985,3,0.00024129333226091852
223,362.1982,3,0.00024129333226091852
224,145.1945.8,3,0.00024129333226091852
225,376.1951.2,3,0.00024129333226091852
226,545.1943,3,0.00024129333226091852
227,661.1978.a12,3,0.00024129333226091852
228,743.1963,3,0.00024129333226091852
229,763.1964.31,3,0.00024129333226091852
230,1338.2001,3,0.00024129333226091852
231,72.1996.1,3,0.00024129333226091852
232,369.1982,3,0.00024129333226091852
233,sc3.1987,3,0.00024129333226091852
234,161.1988,3,0.00024129333226091852
235,590.1981,3,0.00024129333226091852
236,178.1962.27,3,0.00024129333226091852
237,798.1983,3,0.00024129333226091852
238,685.1964.69,3,0.00024129333226091852
