listings,title,price,currency,url
C.K. Mann & The Masters*,Abotar Mu A,160.99,USD,https://www.discogs.com/sell/item/1008929815
Bjarne Rostvold Quartet & Trio,Jazz Journey,159.99,USD,https://www.discogs.com/sell/item/975480645
Coheed And Cambria,Neverender: Children Of The Fence,159.99,USD,https://www.discogs.com/sell/item/932613776
Led Zeppelin,The Soundtrack From The Film Led Zeppelin The Song Remains The Same,159.99,USD,https://www.discogs.com/sell/item/938085992
Sacred,Keep On Going / Bass Keeps Going / Do It Together,159.99,USD,https://www.discogs.com/sell/item/1014808290
Alex Cortex,Tengenenge,159.99,USD,https://www.discogs.com/sell/item/900825288
David Raksin,Wonderful Inventions,150.99,USD,https://www.discogs.com/sell/item/915622355
Elvis*,The Legend First Edition,150.97,USD,https://www.discogs.com/sell/item/477680661
J.S. Bach* - Friedrich Gulda,Das Wohltemperierte Klavier,149.99,USD,https://www.discogs.com/sell/item/1064668963
Chicane,Red Skies,149.99,USD,https://www.discogs.com/sell/item/511046977
Carlos Chávez,A Program Of Mexican Music,149.99,USD,https://www.discogs.com/sell/item/985531444
Boz Scaggs, Silk Degrees,149.99,USD,https://www.discogs.com/sell/item/816522122
Arturo Sandoval,Variaciones Para Trompeta,149.99,USD,https://www.discogs.com/sell/item/968684424
Various,"Rhythm, Love And Soul",149.99,USD,https://www.discogs.com/sell/item/951182979
Bill Evans,At The Montreux Jazz Festival,149.99,USD,https://www.discogs.com/sell/item/965239395
Dr. Buzzard's Original Savannah Band,Meets King Pennett,149.99,USD,https://www.discogs.com/sell/item/946662215
Depeche Mode,Some Great Reward,149.99,USD,https://www.discogs.com/sell/item/935633012
Various,Bass Culture Volume One: This Town Is Too Hot! - Ska & Rocksteady Original 1960s Recordings,149.99,USD,https://www.discogs.com/sell/item/950288931
Jeff Buckley,Grace,149.99,USD,https://www.discogs.com/sell/item/935279147
The Doors,Perception,149.99,USD,https://www.discogs.com/sell/item/1038337298
Grateful Dead*,"Dick's Picks 31: 8/4-5/74 Philadelphia Civic Center, Philadelphia, PA; 8/6/74 Roosevelt Stadium, Jersey City, NJ",149.99,USD,https://www.discogs.com/sell/item/933061445
Various,"Bass Culture Volume Three: When Reggae Was King - Roots, Rockers, DJs And Dub 1970-1980",149.99,USD,https://www.discogs.com/sell/item/950296906
Jean Ritchie,Kentucky Mountain Songs,149.99,USD,https://www.discogs.com/sell/item/955877747
Jeff Beck,Truth,149.99,USD,https://www.discogs.com/sell/item/969923077
Cat Stevens,Tea For The Tillerman,149.99,USD,https://www.discogs.com/sell/item/1065811720
Rosa Passos,Samba Dobrado,149.99,USD,https://www.discogs.com/sell/item/819238733
Olori Rock*,Ruff -N- Tuff / Don't Test Me,149.99,USD,https://www.discogs.com/sell/item/952609084
The Books,A Dot In Time.,149.99,USD,https://www.discogs.com/sell/item/963520384
Grateful Dead*,"Dick's Picks 31: 8/4-5/74 Philadelphia Civic Center, Philadelphia, PA; 8/6/74 Roosevelt Stadium, Jersey City, NJ",149.99,USD,https://www.discogs.com/sell/item/939864236
Genesis,1983 - 1998,149.99,USD,https://www.discogs.com/sell/item/1038338011
Depeche Mode,Some Great Reward,149.99,USD,https://www.discogs.com/sell/item/935633656
Delaney & Bonnie & Friends With Eric Clapton,On Tour,149.99,USD,https://www.discogs.com/sell/item/1038337655
Grateful Dead*,Dick's Picks Volume 25 - 1978 (New Haven · CT · May 10 / Springfield · MA · May 11),149.99,USD,https://www.discogs.com/sell/item/939864332
Queen,The Game,147.99,USD,https://www.discogs.com/sell/item/904238098
Grateful Dead*,Road Trips Vol. 2 No. 4: Cal Expo '93,145.99,USD,https://www.discogs.com/sell/item/938894134
The Rolling Stones,The Singles 1971-2006,145.99,USD,https://www.discogs.com/sell/item/1007001984
Bay City Rollers,Once Upon A Star,144.99,USD,https://www.discogs.com/sell/item/935633807
Raphel Green* & Almantado* / Hugo Blackwood & Almantado*,Rasta Train / Reggae Music,144.99,USD,https://www.discogs.com/sell/item/971372432
