listings,title,price,currency,url
Tristeza,Spine And Sensory,52.75,USD,https://www.discogs.com/sell/item/529158219
Half Japanese*,Volume Three: 1990-1995,51.67,USD,https://www.discogs.com/sell/item/233363327
Stereolab,Margerine Eclipse,51.63,USD,https://www.discogs.com/sell/item/1008097153
The Notwist,Neon Golden,51.41,USD,https://www.discogs.com/sell/item/1009267299
The Chemical Brothers,Push The Button,48.82,USD,https://www.discogs.com/sell/item/257207115
Clinic,Walking With Thee,48.46,USD,https://www.discogs.com/sell/item/425709805
The Apples In Stereo,Tone Soul Evolution,48.42,USD,https://www.discogs.com/sell/item/551412893
"Matt ""MV"" Valentine*",Midden Mound,48.01,USD,https://www.discogs.com/sell/item/605786127
Jeff The Brotherhood,"Past 7"" Recordings",47.99,USD,https://www.discogs.com/sell/item/646120804
The Fall,Hex Enduction Hour,47.91,USD,https://www.discogs.com/sell/item/1068073279
The Cure,...Happily Ever After,47.89,USD,https://www.discogs.com/sell/item/1010953293
Frank Black,Frank Black,47.87,USD,https://www.discogs.com/sell/item/905926778
Quasi (2),"Featuring ""Birds""",47.46,USD,https://www.discogs.com/sell/item/348987688
The Verve,Singles,47.3,USD,https://www.discogs.com/sell/item/978446237
Sonic Youth,NYC Ghosts & Flowers,46.73,USD,https://www.discogs.com/sell/item/1042844026
Les Momies De Palerme / Khôra / Nick Kuepfer,Musique Fragile 01,46.02,USD,https://www.discogs.com/sell/item/818940521
The XX,I See You,46.02,USD,https://www.discogs.com/sell/item/429901360
...And You Will Know Us By The Trail Of Dead,Source Tags & Codes,46.02,USD,https://www.discogs.com/sell/item/479574788
Evan Dando,Baby I'm Bored,45.71,USD,https://www.discogs.com/sell/item/469308984
Nurse With Wound,Homotopy To Marie,45.5,USD,https://www.discogs.com/sell/item/1013631783
Kamasi Washington,Heaven And Earth,45.19,USD,https://www.discogs.com/sell/item/734340238
Sonic Youth,"Experimental Jet Set, Trash And No Star",44.94,USD,https://www.discogs.com/sell/item/1042834930
Fever Ray,Plunge,44.89,USD,https://www.discogs.com/sell/item/786027033
Kanada 70 / Pacha (6) / Hangedup + Tony Conrad,Musique Fragile 02,44.48,USD,https://www.discogs.com/sell/item/258305827
Ariel Pink,Dedicated To Bobby Jameson,43.77,USD,https://www.discogs.com/sell/item/548665222
Various,Verve // Remixed³,43.77,USD,https://www.discogs.com/sell/item/541026526
The National,I Am Easy To Find,42.05,USD,https://www.discogs.com/sell/item/957582352
Half Japanese*,1/2 Gentlemen / Not Beasts,42.0,USD,https://www.discogs.com/sell/item/602525044
Jessamine,Jessamine,41.81,USD,https://www.discogs.com/sell/item/443484817
Belle And Sebastian*,Girls In Peacetime Want To Dance,41.75,USD,https://www.discogs.com/sell/item/211959911
Belle And Sebastian*,Girls In Peacetime Want To Dance,41.75,USD,https://www.discogs.com/sell/item/211959915
Various,The Devil's Jukebox,41.58,USD,https://www.discogs.com/sell/item/839674966
