listings,title,price,currency,url
Rikki Ililonga,Dread Eyes,524.92,EUR,https://www.discogs.com/sell/item/1070275028
Art (2),Supernatural Fairy Tales,508.75,EUR,https://www.discogs.com/sell/item/1070322818
Kin Ping Meh,Kin Ping Meh,507.62,EUR,https://www.discogs.com/sell/item/1070194800
The Beatles,The Beatles,498.21,EUR,https://www.discogs.com/sell/item/1069615292
Sonny Jenkins And The New York Potpourri Strings,That Friday Pay (Eagle Flying Day),495.0,EUR,https://www.discogs.com/sell/item/1069652546
Tear Gas,Tear Gas,495.0,EUR,https://www.discogs.com/sell/item/1070202880
The Rolling Stones,Grrr!,495.0,EUR,https://www.discogs.com/sell/item/1069628800
Pop Rivets*,Greatest Hits,495.0,EUR,https://www.discogs.com/sell/item/1070233318
Various,Woodstock: 40th Anniversary Ultimate Collector's Edition,495.0,EUR,https://www.discogs.com/sell/item/1069621294
Various,Woodstock: 40th Anniversary Ultimate Collector's Edition,495.0,EUR,https://www.discogs.com/sell/item/1069621300
Ray Gentry / The Rovin' Gamblers,Willie Was A Bad Boy / Do The Fly,495.0,EUR,https://www.discogs.com/sell/item/1070238932
PiL*,Metal Box,495.0,EUR,https://www.discogs.com/sell/item/1069963447
Supertramp,Crime Of The Century,494.01,EUR,https://www.discogs.com/sell/item/1070329565
Frumpy,Frumpy 2,492.8,EUR,https://www.discogs.com/sell/item/1069957377
Ihre Kinder,Leere Hände,489.72,EUR,https://www.discogs.com/sell/item/1069666332
Cressida (3),Asylum,478.19,EUR,https://www.discogs.com/sell/item/1070180147
Gomorrha (2),Trauma,473.0,EUR,https://www.discogs.com/sell/item/1070218554
Pink Floyd,Echoes (The Best Of Pink Floyd),469.69,EUR,https://www.discogs.com/sell/item/1069615542
Neil Young & Crazy Horse,Greendale,462.0,EUR,https://www.discogs.com/sell/item/1070009131
Yatha Sidhra,A Meditation Mass,462.0,EUR,https://www.discogs.com/sell/item/1070014493
Eloy,Eloy,458.72,EUR,https://www.discogs.com/sell/item/1070405591
Ruby & The Mudflaps,Do The Boogie / Breezy,458.34,EUR,https://www.discogs.com/sell/item/1069967523
Kollektiv,Kollektiv,455.84,EUR,https://www.discogs.com/sell/item/1070021345
Message (3),From Books And Dreams,455.4,EUR,https://www.discogs.com/sell/item/1070252777
The Who,The Studio Albums,452.54,EUR,https://www.discogs.com/sell/item/1069617744
La Monte Young,The Well-Tuned Piano 81 X 25 6:17:50 - 11:18:59 PM NYC,451.17,EUR,https://www.discogs.com/sell/item/1070276304
Various,Avantgarde Vol. 4,445.5,EUR,https://www.discogs.com/sell/item/1069939605
Tom Waits,"Orphans: Brawlers, Bawlers & Bastards",445.5,EUR,https://www.discogs.com/sell/item/1069616817
Gravytrain*,Second Birth,440.01,EUR,https://www.discogs.com/sell/item/1069671356
Prince,Black Album,440.0,EUR,https://www.discogs.com/sell/item/1070173718
Red Hot Chili Peppers,Stadium Arcadium,440.0,EUR,https://www.discogs.com/sell/item/1069615266
Tiger B. Smith,Tiger Rock,440.0,EUR,https://www.discogs.com/sell/item/1070326535
Black Sabbath,The Vinyl Collection 1970-1978,440.0,EUR,https://www.discogs.com/sell/item/1069615416
Excalibur,The First Album,440.0,EUR,https://www.discogs.com/sell/item/1070315499
The Beatles,The Beatles,440.0,EUR,https://www.discogs.com/sell/item/1069584851
Catapilla,Changes,440.0,EUR,https://www.discogs.com/sell/item/1070252723
