listings,title,price,currency,url
Deep Purple,Shades of Deep Purple,375.0,EUR,https://www.discogs.com/sell/item/910903104
The Seeds,Future,375.0,EUR,https://www.discogs.com/sell/item/979333840
Bob Dylan,Bob Dylan/Vol.4,350.0,EUR,https://www.discogs.com/sell/item/946786256
Lou Reed,How Do You Think It Feels,350.0,EUR,https://www.discogs.com/sell/item/1060696660
Chris Spedding,Spedding The Guitarist,350.0,EUR,https://www.discogs.com/sell/item/1001711949
Audience (2),Friend's Friend's Friend,350.0,EUR,https://www.discogs.com/sell/item/999093243
Dando Shaft,Lantaloon,350.0,EUR,https://www.discogs.com/sell/item/1002115876
Big Brother & The Holding Company,Down On Me,350.0,EUR,https://www.discogs.com/sell/item/973106817
Mal Waldron,Spanish Bitch,350.0,EUR,https://www.discogs.com/sell/item/977583752
Kenny Dorham,The Arrival Of Kenny Dorham,350.0,EUR,https://www.discogs.com/sell/item/1034135760
Mal Waldron - Steve Lacy*,Journey Without End,325.0,EUR,https://www.discogs.com/sell/item/1017179339
Gil Mellé,The Andromeda Strain (Original Electronic Soundtrack),325.0,EUR,https://www.discogs.com/sell/item/1006111818
The Don Rendell / Ian Carr Quintet,Phase III,300.0,EUR,https://www.discogs.com/sell/item/935359160
エドガー・ブロートン・バンド* = The Edgar Broughton Band,悪魔の世界 = Evil,300.0,EUR,https://www.discogs.com/sell/item/966371817
The Wailers,Catch A Fire,300.0,EUR,https://www.discogs.com/sell/item/1040228491
Jefferson Airplane,Jefferson Airplane Takes Off,300.0,EUR,https://www.discogs.com/sell/item/1003419201
The Alan Skidmore Quintet,TCB,300.0,EUR,https://www.discogs.com/sell/item/1072190540
L'infonie,Vol 33 - Mantra,300.0,EUR,https://www.discogs.com/sell/item/1072537833
CREAM (2),Wheels Of Fire - Live At The Fillmore,300.0,EUR,https://www.discogs.com/sell/item/1058547241
オーネット・コールマン*,Ornette On Tenor　オーネット・オン・テナー,300.0,EUR,https://www.discogs.com/sell/item/1017460685
Johnny Pate,Shaft In Africa,300.0,EUR,https://www.discogs.com/sell/item/946784329
The Velvet Underground,White Light/White Heat,300.0,EUR,https://www.discogs.com/sell/item/1068702170
Lou Reed,Metal Machine Music (The Amine β Ring) = メタル・マシン・ミュージック「無限大の幻覚」,275.0,EUR,https://www.discogs.com/sell/item/1015791387
Fela Anikulapo Kuti* And Roy Ayers,Music Of Many Colours,275.0,EUR,https://www.discogs.com/sell/item/1029914025
The Pyramids (3),Birth / Speed / Merging,275.0,EUR,https://www.discogs.com/sell/item/1052693538
Miles Davis And Milt Jackson,Quintet / Sextet,275.0,EUR,https://www.discogs.com/sell/item/984000766
Albert Ayler Trio,Spiritual Unity,275.0,EUR,https://www.discogs.com/sell/item/999093273
Captain Beefheart & His Magic Band*,Mirror Man,275.0,EUR,https://www.discogs.com/sell/item/1014844038
Mkwaju Ensemble,Ki-Motion,275.0,EUR,https://www.discogs.com/sell/item/1008240650
Cecil Leuter,Pop Electronique,275.0,EUR,https://www.discogs.com/sell/item/1017144086
Roxy Music,Roxy Music,275.0,EUR,https://www.discogs.com/sell/item/1003025201
Sun Ra,Oblique Parallax,275.0,EUR,https://www.discogs.com/sell/item/966921943
あがた森魚*,乗物図鑑,275.0,EUR,https://www.discogs.com/sell/item/969321638
M'Boom*,Re:Percussion,275.0,EUR,https://www.discogs.com/sell/item/966370366
Wendy & Bonnie,Genesis,250.0,EUR,https://www.discogs.com/sell/item/1075062295
