index	artist	title	year	Medium	Dimensions	Credit	Object number	Copyright	Department	Manufacturer	Collaborating artist	Model maker	Printer	Engineer	Fabricator	Delineator	Publisher	Edition	Type	Portfolio
46	Le Corbusier (Charles-Édouard Jeanneret)	Exhibition Pavilion, Z.H.L.C., Zurich, Switzerland, West façade	1961	Letterpress	"12 x 17"" (30.5 x 43.2 cm)"	Takeo Ohbayashi Purchase Fund	209.2003.9	© 2020 Artists Rights Society (ARS), New York / ADAGP, Paris / FLC	Architecture and Design							Jullian				
47	Le Corbusier (Charles-Édouard Jeanneret)	Assembly Hall, Chandigarh, India (Model of the roof structure)	1964	Plaster and painted wood	"31 7/8 x 45 1/16 x 45 1/2"" (81 x 114.5 x 115.5 cm)"	Gift of Barbara Jakobson and the Architecture & Design Purchase Fund	121.2010	© 2020 Artists Rights Society (ARS), New York / ADAGP, Paris / FLC	Architecture and Design											
48	Le Corbusier (Charles-Édouard Jeanneret)	Unité	1963	Portfolio of twenty etchings	"plate (see child records): dimensions vary; sheet (each): 22 1/2 x 17 15/16"" (57.1 x 45.5 cm)"	Abby Aldrich Rockefeller Fund	289.1966.1-20	© 2020 Artists Rights Society (ARS), New York / ADAGP, Paris / FLC	Drawings and Prints				Atelier Crommelynck, Paris				Éditions A. C. Mazo & Cie., Paris	130	Portfolio	
49	Le Corbusier (Charles-Édouard Jeanneret)	Unité	1963	One from a portfolio of twenty etchings	"plate: 12 1/2 x 16 7/16"" (31.8 x 41.8 cm); sheet: 17 15/16 x 22 1/2"" (45.5 x 57.1 cm)"	Abby Aldrich Rockefeller Fund	289.1966.1	© 2020 Artists Rights Society (ARS), New York / ADAGP, Paris / FLC	Drawings and Prints				Atelier Crommelynck, Paris				Éditions A. C. Mazo & Cie., Paris	130		Unité
50	Le Corbusier (Charles-Édouard Jeanneret)	Unité	1963	One from a portfolio of twenty etchings	"plate: 16 7/16 x 12 1/2"" (41.8 x 31.8 cm); sheet: 22 1/2 x 17 15/16"" (57.1 x 45.5 cm)"	Abby Aldrich Rockefeller Fund	289.1966.2	© 2020 Artists Rights Society (ARS), New York / ADAGP, Paris / FLC	Drawings and Prints				Atelier Crommelynck, Paris				Éditions A. C. Mazo & Cie., Paris	130		Unité
51	Le Corbusier (Charles-Édouard Jeanneret)	Unité	1963	One from a portfolio of twenty etchings	"plate: 12 1/2 x 16 7/16"" (31.8 x 41.8 cm); sheet: 22 1/2 x 17 15/16"" (57.1 x 45.5 cm)"	Abby Aldrich Rockefeller Fund	289.1966.3	© 2020 Artists Rights Society (ARS), New York / ADAGP, Paris / FLC	Drawings and Prints				Atelier Crommelynck, Paris				Éditions A. C. Mazo & Cie., Paris	130		Unité
52	Le Corbusier (Charles-Édouard Jeanneret)	Unité	1963	One from a portfolio of twenty etchings	"plate: 16 7/16 x 12 1/2"" (41.8 x 31.8 cm); sheet: 22 1/2 x 17 15/16"" (57.1 x 45.5 cm)"	Abby Aldrich Rockefeller Fund	289.1966.4	© 2020 Artists Rights Society (ARS), New York / ADAGP, Paris / FLC	Drawings and Prints				Atelier Crommelynck, Paris				Éditions A. C. Mazo & Cie., Paris	130		Unité
53	Le Corbusier (Charles-Édouard Jeanneret)	Unité	1963	One from a portfolio of twenty etchings	"plate: 16 7/16 x 12 1/2"" (41.8 x 31.8 cm); sheet: 22 1/2 x 17 15/16"" (57.1 x 45.5 cm)"	Abby Aldrich Rockefeller Fund	289.1966.5	© 2020 Artists Rights Society (ARS), New York / ADAGP, Paris / FLC	Drawings and Prints				Atelier Crommelynck, Paris				Éditions A. C. Mazo & Cie., Paris	130		Unité
54	Le Corbusier (Charles-Édouard Jeanneret)	Unité	1963	One from a portfolio of twenty etchings	"plate: 16 7/16 x 12 1/2"" (41.8 x 31.8 cm); sheet: 22 1/2 x 17 15/16"" (57.1 x 45.5 cm)"	Abby Aldrich Rockefeller Fund	289.1966.6	© 2020 Artists Rights Society (ARS), New York / ADAGP, Paris / FLC	Drawings and Prints				Atelier Crommelynck, Paris				Éditions A. C. Mazo & Cie., Paris	130		Unité
55	Le Corbusier (Charles-Édouard Jeanneret)	Unité	1963	One from a portfolio of twenty etchings	"plate: 12 1/2 x 16 7/16"" (31.8 x 41.8 cm); sheet: 17 15/16 x 22 1/2"" (45.5 x 57.1 cm)"	Abby Aldrich Rockefeller Fund	289.1966.7	© 2020 Artists Rights Society (ARS), New York / ADAGP, Paris / FLC	Drawings and Prints				Atelier Crommelynck, Paris				Éditions A. C. Mazo & Cie., Paris	130		Unité
